id,value
id_0,50.6460651861
id_1,137.060631298
id_2,56.210439608
id_3,71.7991818703
id_4,22.7001134931
id_5,60.3589059453
id_6,88.8001566769
id_7,39.3098224941
id_8,119.011146112
id_9,56.3805582089
id_10,76.2217672656
id_11,99.9187363291
id_12,79.6712427557
id_13,58.4253181471
id_14,79.6261049467
id_15,31.008318843
id_16,99.1355874579
id_17,59.8885582794
id_18,30.7714513047
id_19,35.923239201
id_20,28.674292453
id_21,60.8540852569
id_22,77.3446229375
id_23,43.8337545548
id_24,115.517217095
id_25,66.6055996288
id_26,45.4121763036
id_27,28.0938537859
id_28,65.9536559298
id_29,52.6175250056
id_30,27.9038478805
id_31,23.0327427485
id_32,41.3950358859
id_33,25.8035126225
id_34,42.3925007708
id_35,93.3430622428
id_36,50.8264822991
id_37,61.2987852799
id_38,27.8646924365
id_39,100.238723665
id_40,74.2002761453
id_41,63.4795148087
id_42,101.322203182
id_43,45.0233642577
id_44,68.16208504
id_45,103.835840197
id_46,107.894529326
id_47,84.8198423503
id_48,81.1523933577
id_49,54.3123689942
id_50,68.1862116235
id_51,44.0764326853
id_52,79.0659797086
id_53,46.7195417738
id_54,75.2663574427
id_55,82.8845339356
id_56,53.2553259494
id_57,50.6345810665
id_58,73.8699421022
id_59,86.0561380225
id_60,24.8848477958
id_61,78.1078763291
id_62,67.0025793214
id_63,92.2778474763
id_64,87.8979919296
id_65,56.0135914444
id_66,75.5612319078
id_67,97.7714727106
id_68,57.644106856
id_69,76.3088661603
id_70,115.491618023
id_71,115.057711672
id_72,87.6630452934
id_73,29.973545803
id_74,28.7717247197
id_75,84.1782525294
id_76,111.382152251
id_77,14.1113394048
id_78,95.6731248752
id_79,80.2274382843
id_80,28.0850262013
id_81,41.5995831996
id_82,16.9301762205
id_83,65.3746214712
id_84,26.277360792
id_85,27.3593382968
id_86,33.0623400016
id_87,31.7809894139
id_88,45.162894135
id_89,103.666480353
id_90,66.2607539725
id_91,24.8416559863
id_92,38.4008327732
id_93,28.2681710223
id_94,68.1794055997
id_95,50.0767351343
id_96,38.0896704168
id_97,19.417595521
id_98,23.2881123445
id_99,47.9260531711
id_100,24.5480736634
id_101,41.5241086512
id_102,31.5915889869
id_103,27.5964790869
id_104,31.0626361021
id_105,59.2828485124
id_106,50.273329842
id_107,25.8900796277
id_108,40.4406591998
id_109,34.1487335357
id_110,30.1858254473
id_111,28.4618409207
id_112,40.2374598934
id_113,46.9835256535
id_114,47.6257950621
id_115,41.341096699
id_116,28.6000360031
id_117,74.5843080207
id_118,52.7075887022
id_119,15.2669946331
id_120,8.73526254645
id_121,26.1691577393
id_122,24.9203556216
id_123,23.570485804
id_124,28.2606030888
id_125,48.4189380144
id_126,53.0315584133
id_127,21.5725210914
id_128,40.0459303676
id_129,32.0008191085
id_130,6.50884410394
id_131,55.4169903174
id_132,40.1379933589
id_133,69.8412121453
id_134,60.0451890665
id_135,46.9572503867
id_136,24.3411618003
id_137,55.3825354503
id_138,131.281103742
id_139,121.276601383
id_140,55.2159146372
id_141,37.4618470682
id_142,43.4181327565
id_143,21.4542907157
id_144,37.999085458
id_145,26.5549499834
id_146,40.0797715292
id_147,24.780129832
id_148,29.4615053502
id_149,35.0967732655
id_150,65.5791304366
id_151,44.0969606195
id_152,42.6185768269
id_153,25.0576930146
id_154,47.451827935
id_155,51.3965387569
id_156,35.9358869888
id_157,65.0001743096
id_158,19.225337481
id_159,36.8044400172
id_160,91.8886914361
id_161,41.865833944
id_162,117.56347139
id_163,34.1958056398
id_164,63.0262989543
id_165,52.5274416044
id_166,55.0497789279
id_167,11.7966076951
id_168,137.300818987
id_169,49.5678270967
id_170,34.1819088385
id_171,128.259182481
id_172,35.5546457336
id_173,15.7184831716
id_174,75.6615851483
id_175,16.5581839323
id_176,25.4794820825
id_177,59.3191589333
id_178,48.2612420614
id_179,49.5222762575
id_180,76.285038917
id_181,67.8833995642
id_182,73.404543705
id_183,37.2075113082
id_184,17.3583778977
id_185,77.3111840893
id_186,72.8506464681
id_187,62.4710166323
id_188,33.5409149847
id_189,45.4224691687
id_190,31.6895432987
id_191,32.1922286837
id_192,56.7245923124
id_193,149.281191928
id_194,75.1376985691
id_195,31.8332786166
id_196,127.201220277
id_197,34.119056008
id_198,43.8849264608
id_199,56.7332588437
id_200,184.375412856
id_201,49.5079230069
id_202,94.977461331
id_203,28.3095487165
id_204,113.780311382
id_205,55.1727164232
id_206,24.9653164978
id_207,39.3361310887
id_208,101.703217366
id_209,55.6003339808
id_210,66.1152458531
id_211,138.439155203
id_212,45.8186282463
id_213,219.56439671
id_214,67.2473700296
id_215,159.35995774
id_216,146.085822479
id_217,130.449257122
id_218,62.2232794463
id_219,68.9526278805
id_220,70.8495176455
id_221,129.580480075
id_222,54.3353311728
id_223,77.2381765624
id_224,92.3631359031
id_225,19.2244321878
id_226,30.4721571728
id_227,125.275610349
id_228,59.1884680227
id_229,8.07025368323
id_230,79.5536875669
id_231,31.498968299
id_232,39.0073500614
id_233,26.5858871697
id_234,38.7027533702
id_235,43.9153136226
id_236,28.7856319932
id_237,11.5734546173
id_238,50.8098175262
id_239,20.20741215
